"time_s","event","from_state","to_state"
"1.08000000","SyncReady","PullIn","PullIn"
"1.46000000","StateRequested","PullIn","Lock"
"1.48000000","StateCommitted","PullIn","Lock"
"1.48000000","TrackingReady","PullIn","Lock"
"6.46000000","StateRequested","Lock","Strong"
"6.48000000","StateCommitted","Lock","Strong"
"69.08000000","StateRequested","Strong","LongFast"
"69.10000000","StateCommitted","Strong","LongFast"
"72.28000000","StateRequested","LongFast","LongLock"
"72.30000000","StateCommitted","LongFast","LongLock"
"75.48000000","StateRequested","LongLock","Medium"
"75.50000000","StateCommitted","LongLock","Medium"
"133.86000000","StateRequested","Medium","Weak"
"133.88000000","StateCommitted","Medium","Weak"
"210.66000000","StateRequested","Weak","Deep"
"210.68000000","StateCommitted","Weak","Deep"
"253.06000000","StateRequested","Deep","Weak"
"253.08000000","StateCommitted","Deep","Weak"
"255.30000000","StateRequested","Weak","Medium"
"255.32000000","StateCommitted","Weak","Medium"
"261.70000000","StateRequested","Medium","Strong"
"261.72000000","StateCommitted","Medium","Strong"
