time_s,frame_id,event,from_state,to_state
1.10000000,55,SyncLocked,PullIn,PullIn
1.48000000,74,StateRequested,PullIn,Lock
1.50000000,75,StateCommitted,PullIn,Lock
3.64000000,182,StateRequested,Lock,Strong
3.66000000,183,StateCommitted,Lock,Strong
188.92000000,9446,StateRequested,Strong,LongFast
188.94000000,9447,StateCommitted,Strong,LongFast
192.12000000,9606,StateRequested,LongFast,LongLock
192.14000000,9607,StateCommitted,LongFast,LongLock
195.32000000,9766,StateRequested,LongLock,Medium
195.34000000,9767,StateCommitted,LongLock,Medium
267.64000000,13382,StateRequested,Medium,Weak
267.66000000,13383,StateCommitted,Medium,Weak
295.80000000,14790,StateRequested,Weak,Deep
295.82000000,14791,StateCommitted,Weak,Deep
463.80000000,23190,StateRequested,Deep,Weak
463.82000000,23191,StateCommitted,Deep,Weak
499.32000000,24966,StateRequested,Weak,Medium
499.34000000,24967,StateCommitted,Weak,Medium
560.76000000,28038,StateRequested,Medium,Strong
560.78000000,28039,StateCommitted,Medium,Strong
