"time_s","event","from_state","to_state"
"1.08000000","SyncReady","PullIn","PullIn"
"1.46000000","StateRequested","PullIn","Lock"
"1.48000000","StateCommitted","PullIn","Lock"
"1.48000000","TrackingReady","PullIn","Lock"
"6.46000000","StateRequested","Lock","Strong"
"6.48000000","StateCommitted","Lock","Strong"
"95.98000000","StateRequested","Strong","LongFast"
"96.00000000","StateCommitted","Strong","LongFast"
"99.18000000","StateRequested","LongFast","LongLock"
"99.20000000","StateCommitted","LongFast","LongLock"
"102.38000000","StateRequested","LongLock","Medium"
"102.40000000","StateCommitted","LongLock","Medium"
"183.32000000","StateRequested","Medium","Weak"
"183.34000000","StateCommitted","Medium","Weak"
