time_s,state,frame_valid,cn0_valid,cn0_method,cn0_db_hz,cn0_fast_valid,cn0_fast_db_hz,pli,pll_enabled,pll_control_hz,fll_locked,dll_locked,doppler_hz,truth_doppler_hz,doppler_error_hz,tracked_code_phase_chips,truth_code_phase_chips,code_phase_error_chips,truth_cn0_db_hz
0.02000000,LongFast,1,0,NWPR,0.00000000,0,0.00000000,1.00000000,1,0.00000000,0,0,4499.90000000,4500.00092360,-0.10092360,200.83259130,200.78260878,0.04998253,24.00000000
1.00000000,LongFast,1,0,NWPR,0.00000000,1,23.82431775,0.64452594,1,0.23047881,1,1,4500.40238593,4500.04616798,0.35621795,239.05781170,239.13063554,-0.07282384,24.00000000
2.00000000,LongFast,1,0,NWPR,0.00000000,1,22.11182224,0.58909090,1,0.80185811,1,1,4501.04090667,4500.09226423,0.94864244,278.28744921,278.26167228,0.02577693,24.00000000
3.00000000,LongFast,1,0,NWPR,0.00000000,1,23.67655271,0.14725952,1,1.09086754,1,1,4500.51857364,4500.13821723,0.38035641,317.43905785,317.39310928,0.04594856,24.00000000
4.00000000,LongFast,1,1,NWPR,23.83655853,1,24.20496595,0.35117323,1,0.75275238,1,1,4500.25185938,4500.18395585,0.06790353,356.55880636,356.52494500,0.03386136,24.00000000
5.00000000,LongFast,1,1,NWPR,23.74556666,1,21.62579928,0.43408785,1,0.81552829,1,1,4500.33307262,4500.22940952,0.10366310,395.54403416,395.65717726,-0.11314310,24.00000000
6.00000000,LongFast,1,1,NWPR,23.60015847,1,21.25394925,0.44872890,1,1.26502766,1,1,4501.04898531,4500.27450850,0.77447681,434.72367651,434.78980327,-0.06612676,24.00000000
7.00000000,LongFast,1,1,NWPR,23.31729396,1,24.51526049,0.45885026,1,-0.22042877,1,1,4499.58951930,4500.31918397,-0.72966468,473.89647403,473.92281965,-0.02634562,24.00000000
8.00000000,LongFast,1,1,NWPR,23.18250877,1,20.28448620,0.36103222,1,1.26897632,1,1,4500.76767283,4500.36336832,0.40430451,513.06722859,513.05622244,0.01100616,24.00000000
9.00000000,LongFast,1,1,NWPR,22.94032734,1,23.79455427,0.09603522,1,0.49604495,1,1,4500.56154990,4500.40699525,0.15455465,552.22942326,552.19000705,0.03941620,24.00000000
10.00000000,LongFast,1,1,NWPR,22.92422647,1,24.89655544,0.37832912,1,0.23577513,1,1,4500.32280955,4500.45000000,-0.12719045,591.40021428,591.32416838,0.07604591,24.00000000
11.00000000,LongFast,1,1,NWPR,23.13834614,1,22.79007336,0.49953744,1,0.38151050,1,1,4500.72676520,4500.49231952,0.23444568,630.41350677,630.45870072,-0.04519395,24.00000000
12.00000000,LongFast,1,1,NWPR,23.16830952,1,23.85420224,0.19325138,1,0.01366260,1,1,4501.13195802,4500.53389263,0.59806540,669.50381594,669.59359786,-0.08978191,24.00000000
13.00000000,LongFast,1,1,NWPR,23.26469581,1,24.12998522,0.29141278,1,-0.52899895,1,1,4501.33896261,4500.57466020,0.76430241,708.72022819,708.72885304,-0.00862485,24.00000000
14.00000000,LongFast,1,1,NWPR,23.26352388,1,22.17121390,0.36640840,1,-0.89256068,1,1,4501.38500985,4500.61456530,0.77044454,748.01092728,747.86445901,0.14646827,24.00000000
15.00000000,LongFast,1,1,NWPR,23.01361320,1,22.35239635,0.18135438,1,1.14862663,1,1,4502.77484335,4500.65355339,2.12128996,787.06503449,787.00040804,0.06462645,24.00000000
16.00000000,LongFast,1,1,NWPR,22.71740047,1,22.66703889,0.31100833,1,-0.17471395,1,1,4500.49283601,4500.69157241,-0.19873641,826.04857863,826.13669191,-0.08811329,24.00000000
17.00000000,LongFast,1,1,NWPR,22.49324628,1,22.88837223,0.17029562,1,0.31191271,1,1,4500.10943247,4500.72857298,-0.61914051,865.24246169,865.27330200,-0.03084031,24.00000000
18.00000000,LongFast,1,1,NWPR,22.43074475,1,21.90987764,0.25619944,1,0.90364536,1,1,4500.98568045,4500.76450850,0.22117195,904.47538110,904.41022923,0.06515188,24.00000000
19.00000000,LongFast,1,1,NWPR,22.41324964,1,23.48532834,0.37960490,1,0.08571409,1,1,4501.02941583,4500.79933528,0.23008055,943.68471869,943.54746415,0.13725454,24.00000000
20.00000000,LongFast,1,1,NWPR,22.62375422,1,23.63579663,0.32426500,1,0.23728016,1,1,4501.34034799,4500.83301270,0.50733529,982.66180448,982.68499694,-0.02319246,24.00000000
21.00000000,LongFast,1,1,NWPR,22.77597016,1,22.74261487,0.33060243,1,0.72703775,1,1,4501.34399015,4500.86550326,0.47848689,1021.81955733,1021.82281745,-0.00326012,24.00000000
22.00000000,LongFast,1,1,NWPR,22.87751058,1,25.48449085,0.52383182,1,0.81318022,1,1,4501.04921571,4500.89677273,0.15244298,1060.99727838,1060.96091520,0.03636319,24.00000000
23.00000000,LongFast,1,1,NWPR,23.29401246,1,24.14125136,0.62952222,1,0.58053752,1,1,4500.83376985,4500.92679021,-0.09302036,1100.09156850,1100.09927943,-0.00771093,24.00000000
24.00000000,LongFast,1,1,NWPR,23.53645340,1,23.33326081,0.51305234,1,1.03207177,1,1,4502.13723455,4500.95552826,1.18170630,1139.23986461,1139.23789914,0.00196546,24.00000000
25.00000000,LongFast,1,1,NWPR,23.74604610,1,23.49560243,0.24414093,1,0.66585554,1,1,4501.73071258,4500.98296291,0.74774966,1178.47443064,1178.37676310,0.09766753,24.00000000
26.00000000,LongFast,1,1,NWPR,23.81841161,1,22.00272673,0.30604096,1,0.50723102,1,1,4501.66056510,4501.00907380,0.65149130,1217.57523971,1217.51585988,0.05937983,24.00000000
27.00000000,LongFast,1,1,NWPR,23.62498025,1,22.60796848,0.33378887,1,0.97557079,1,1,4501.84591873,4501.03384417,0.81207455,1256.62194009,1256.65517789,-0.03323781,24.00000000
28.00000000,LongFast,1,1,NWPR,23.39734983,1,21.49658670,0.21321654,1,0.66217391,1,1,4501.64154575,4501.05726095,0.58428480,1295.72920298,1295.79470542,-0.06550244,24.00000000
29.00000000,LongFast,1,1,NWPR,23.14564426,1,23.12057073,0.46552512,1,0.85015169,1,1,4501.66877248,4501.07931477,0.58945772,1334.91151246,1334.93443065,-0.02291819,24.00000000
30.00000000,LongFast,1,1,NWPR,23.02240151,1,23.01425863,0.37479446,1,1.20361126,1,1,4501.61804902,4501.10000000,0.51804902,1374.08505281,1374.07434171,0.01071110,24.00000000
31.00000000,LongFast,1,1,NWPR,22.93818370,1,21.83181922,0.55774176,1,0.44402100,1,1,4501.26135063,4501.11931477,0.14203586,1413.14764990,1413.21442668,-0.06677678,24.00000000
32.00000000,LongFast,1,1,NWPR,22.87561921,1,22.81753547,0.55232804,1,-0.22906860,1,1,4500.69687596,4501.13726095,-0.44038499,1452.41372226,1452.35467365,0.05904861,24.00000000
