"time_s","event","from_state","to_state"
"1.08000000","SyncReady","PullIn","PullIn"
"1.46000000","StateRequested","PullIn","Lock"
"1.48000000","StateCommitted","PullIn","Lock"
"1.48000000","TrackingReady","PullIn","Lock"
"6.46000000","StateRequested","Lock","Strong"
"6.48000000","StateCommitted","Lock","Strong"
"89.88000000","StateRequested","Strong","LongFast"
"89.90000000","StateCommitted","Strong","LongFast"
"93.08000000","StateRequested","LongFast","LongLock"
"93.10000000","StateCommitted","LongFast","LongLock"
"96.28000000","StateRequested","LongLock","Medium"
"96.30000000","StateCommitted","LongLock","Medium"
"117.78000000","StateRequested","Medium","Weak"
"117.80000000","StateCommitted","Medium","Weak"
"166.10000000","StateRequested","Weak","Deep"
"166.12000000","StateCommitted","Weak","Deep"
"249.60000000","StateRequested","Deep","Weak"
"249.62000000","StateCommitted","Deep","Weak"
"251.84000000","StateRequested","Weak","Medium"
"251.86000000","StateCommitted","Weak","Medium"
"271.36000000","StateRequested","Medium","Strong"
"271.38000000","StateCommitted","Medium","Strong"
